"call_id","call_created_date","meta_contacted_by","score_qa_score"
"1034HIAP7T43H9M4410K4M597K02HMV9",2020-02-04,,9.00
"1034HIAP7T43H9M4410K4M597K02MGOA",2020-02-04,,15.00
"1034HIAP7T43H9M4410K4M597K02GM3P",2020-02-04,,15.00
"1034HIAP7T43H9M4410K4M597K02HDRT",2020-02-04,,18.00
"1034HIAP7T43H9M4410K4M597K02GK1Q",2020-02-04,,15.00
"1034HIAP7T43H9M4410K4M597K02KF4P",2020-02-04,,12.00
"1034HIAP7T43H9M4410K4M597K02VNM2",2020-02-05,,18.00
"1034HIAP7T43H9M4410K4M597K02NMS3",2020-02-05,,15.00
"1034HIAP7T43H9M4410K4M597K02TKVA",2020-02-05,,9.00
